white,black,light_grey,grey,dark_grey,light_red,red,dark_red,light_orange,orange,dark_orange,light_beige,beige,dark_beige,light_brown,brown,dark_brown,light_yellow,yellow,dark_yellow,light_green,green,dark_green,light_pink,pink,dark_pink,light_blue,blue,dark_blue,light_purple,purple,dark_purple
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,x,,,x,x,x,x,,x,x
x,x,x,x,x,x,x,x,x,,,x,x,x,,x,,x,,,,,,x,x,x,x,x,x,,,
x,x,x,x,x,x,x,x,x,x,x,,x,x,,x,x,x,x,,,x,x,,,,x,x,x,,x,x
x,x,x,x,x,x,,,x,x,x,,x,,,x,x,,,,,x,x,,,,x,x,x,,,
x,x,x,x,x,,,,x,x,x,x,x,x,x,x,x,,,x,,x,x,,,,x,x,x,,,
x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,x,
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,,,,x,x,x,x,x,x,x,,x,x,x,x,x,,,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,x,x,x
x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,
x,x,x,x,x,x,x,x,x,,,,,x,,x,x,x,x,x,x,x,x,,,,x,x,x,,,
x,x,x,x,x,,,,x,,,,,x,x,x,x,x,x,x,x,x,x,,,,x,x,x,,,x
x,x,x,x,x,,,,,,x,x,,x,x,x,x,x,x,x,x,x,x,,,,x,x,x,,x,x
x,x,x,x,x,,,,,,,x,,x,x,x,x,x,x,x,x,x,x,,,,x,x,x,,,
x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,,x,,,,x,x,x,,,,,,,,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,,x,,,,x,x,x,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,,,,x,x,x,x,,x,,,,,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,,,,,,x,x,x,x,x,x,,,,,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,,,x,,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,,,,x,x,x,x,,,x,x,,x,x,x,x,x,x,x,x,x,x,x
